timestamp (ms);packet no.;rssi;satellites;longitude (Á);latitude (Á);altitude (m);temperature (decy ÁC);pressure (Pa);humidity (%)
1023328;204;-62;3;21.06814;52.50214;-38;418;101487.53;10
1028332;205;-62;3;21.067987;52.50227;-38;419;101489.14;10
1033337;206;-62;3;21.0686;52.502171;-38;420;101489.04;10
1038340;207;-62;3;21.068151;52.502247;-38;419;101486.56;10
1043346;208;-61;3;21.068384;52.502102;-38;419;101482.2;10
1048350;209;-62;3;21.068151;52.50227;-38;420;101483.42;10
1053354;210;-62;3;21.068438;52.502209;-38;421;101493.23;10
1058359;211;-62;3;21.068169;52.502274;-38;420;101489.88;10
1063361;212;-62;3;21.069067;52.502048;-38;419;101497.95;10
1068366;213;-61;3;21.067686;52.5023;-38;419;101486.46;10
1073370;214;-61;3;21.067968;52.502293;-38;419;101481.11;10
1078374;215;-61;3;21.067621;52.502422;-38;419;101490.37;10
1083377;216;-62;3;21.067699;52.502357;-38;419;101493.17;10
1088382;217;-62;3;21.06855;52.50227;-38;419;101486.08;10
1093386;218;-62;3;21.067684;52.502365;-38;419;101486.34;10
1098389;219;-62;3;21.068726;52.502205;-38;419;101484.75;10
1103395;220;-61;3;21.068979;52.502197;-38;420;101489.66;10
1108399;221;-62;3;21.068792;52.502258;-38;419;101485.85;10
1113403;222;-62;3;21.067726;52.502445;-38;419;101481.33;10
1118408;223;-62;3;21.068298;52.502209;-38;419;101485.62;10
1123411;224;-61;3;21.068428;52.502235;-38;419;101482.44;10
1128413;225;-61;3;21.067789;52.502247;-38;419;101490.25;10
1133418;226;-61;3;21.067739;52.502323;-38;419;101485.62;10
1138424;227;-60;3;21.068335;52.502197;-38;419;101480.95;10
1143428;228;-61;3;21.068647;52.502064;-38;418;101486.31;10
1148432;229;-60;3;21.067926;52.502335;-38;419;101483.05;10
1153436;230;-61;3;21.068693;52.502148;-38;420;101484.64;10
1158440;231;-62;3;21.068291;52.502178;-38;420;101484.88;10
1163442;232;-61;3;21.068163;52.502258;-38;419;101481.11;10
1168447;233;-61;3;21.068481;52.502193;-38;418;101482.76;10
1173451;234;-60;3;21.068184;52.502235;-38;419;101485.95;10
1178456;235;-61;3;21.067938;52.502316;-38;420;101485.75;10
1183459;236;-61;3;21.067894;52.502316;-38;420;101484.19;10
1188463;237;-62;3;21.067923;52.502304;-38;420;101487.33;10
1193467;238;-61;3;21.068357;52.502167;-38;419;101482.92;10
1198471;239;-61;3;21.06847;52.502132;-38;419;101487.44;10
1203475;240;-62;3;21.067951;52.502296;-38;418;101487.64;10
1208479;241;-61;3;21.068092;52.502262;-38;418;101479.22;10
1213484;242;-61;3;21.068331;52.502201;-38;417;101477.38;10
1218488;243;-60;3;21.068474;52.502167;-38;416;101476.83;10
1223491;244;-60;3;21.068539;52.502224;-38;417;101473.09;10
1228495;245;-61;3;21.068464;52.502102;-38;418;101478.25;10
1233499;246;-61;3;21.067802;52.502289;-38;418;101480.21;10
1238503;247;-60;3;21.067394;52.502274;-38;418;101485.34;10
1243507;248;-61;3;21.067856;52.502144;-38;418;101472.5;10
1248511;249;-61;3;21.068356;52.502155;-38;417;101480.8;10
1253515;250;-61;3;21.06864;52.502216;-38;417;101476.77;10
1258518;251;-61;3;21.068808;52.502178;-38;417;101481.64;10
1263522;252;-60;3;21.068794;52.502113;-38;416;101471.92;10
1268527;253;-60;3;21.067745;52.502388;-38;415;101469.6;10
1273531;254;-62;3;21.068754;52.502155;-38;415;101476.05;10
1278535;255;-61;3;21.068235;52.502235;-38;414;101477.81;10
1283539;256;-61;3;21.067841;52.502354;-38;415;101478.11;10
1288543;257;-60;3;21.068209;52.502338;-38;416;101475.77;10
1293547;258;-60;3;21.068527;52.502224;-38;417;101475.67;10
1298550;259;-61;3;21.068331;52.502216;-38;416;101479.19;10
1303555;260;-60;3;21.068068;52.502312;-38;416;101474.41;10
1308558;261;-60;3;21.068682;52.502163;-38;416;101470.77;10
1313562;262;-60;3;21.068447;52.502178;-38;415;101478.86;10
1318566;263;-61;3;21.068243;52.502205;-38;417;101477.6;10
1323570;264;-62;3;21.068029;52.502155;-38;417;101476.51;10
1328574;265;-61;3;21.067896;52.502293;-38;418;101483.99;10
1333577;266;-61;3;21.068607;52.502029;-38;417;101478.22;10
1338581;267;-60;3;21.068338;52.502117;-38;418;101480.7;10
1343585;268;-61;3;21.068714;52.502087;-38;418;101476.92;10
1348589;269;-61;3;21.068659;52.502113;-38;417;101472.98;10
1353593;270;-61;3;21.068716;52.502193;-38;417;101476.02;10
1358598;271;-61;3;21.069164;52.501995;-38;415;101470.44;10
1363601;272;-61;3;21.06859;52.502151;-38;416;101468.02;10
1368605;273;-60;3;21.068897;52.502113;-38;416;101478.77;10
1373609;274;-61;3;21.068321;52.502197;-38;416;101474.41;10
1378612;275;-60;3;21.068407;52.502235;-38;416;101474.02;10
1383616;276;-61;3;21.068487;52.502209;-38;416;101477.05;10
1388619;277;-61;3;21.068527;52.502117;-38;418;101474.47;10
1393624;278;-60;3;21.068338;52.502201;-38;418;101476.53;10
1398626;279;-60;3;21.068583;52.502171;-38;418;101479.22;10
1403630;280;-61;3;21.068554;52.502163;-38;417;101479.31;10
1408633;281;-61;3;21.068321;52.502232;-38;417;101477.73;10
1413637;282;-61;3;21.068914;52.502075;-38;418;101469.21;10
1418641;283;-60;3;21.068928;52.502155;-38;418;101476.3;10
1423645;284;-61;3;21.068968;52.502148;-38;418;101475.2;10
1428649;285;-60;3;21.069822;52.502037;-38;418;101474.83;10
1433653;286;-61;3;21.069494;52.502014;-38;418;101473.5;10
1438657;287;-60;3;21.067711;52.502518;-38;416;101472.7;10
1443660;288;-60;3;21.068394;52.502338;-38;417;101476.99;10
1448663;289;-60;3;21.068863;52.50219;-38;417;101476.51;10
1453667;290;-61;3;21.069075;52.502087;-38;418;101476.8;10
1458671;291;-60;3;21.069834;52.501934;-38;418;101473.98;10
1463675;292;-61;3;21.070141;52.501942;-38;418;101473.6;10
1468678;293;-60;3;21.069195;52.50219;-38;417;101470.05;10
1473681;294;-61;3;21.068733;52.502163;-38;417;101473.95;10
1478685;295;-61;3;21.069305;52.502022;-38;418;101474.21;10
1483688;296;-61;3;21.068783;52.502007;-38;418;101470.3;10
1488692;297;-60;3;21.06867;52.502064;-38;417;101469.09;10
1493696;298;-61;3;21.068474;52.502102;-38;418;101469.95;10
1498699;299;-61;3;21.068928;52.502064;-38;418;101473.11;10
1503702;300;-60;3;21.068378;52.50227;-38;417;101467.47;10
1509691;301;-58;0;21.068378;52.50227;-38;417;101470.51;10
1513712;302;-60;3;21.068018;52.502407;-38;417;101471.99;10
1518715;303;-60;3;21.067923;52.502369;-38;417;101474.31;10
1523718;304;-62;3;21.067335;52.502415;-38;418;101468.38;10
1528722;305;-60;3;21.067322;52.50248;-38;418;101466.78;10
1533726;306;-60;3;21.067404;52.502476;-38;418;101466.78;10
1538729;307;-60;3;21.067398;52.502579;-38;418;101469.82;10
1543732;308;-60;3;21.067469;52.502453;-38;416;101468.8;10
1548735;309;-60;3;21.067842;52.502129;-38;416;101468.02;10
1553739;310;-60;3;21.068701;52.502113;-38;417;101472.86;10
1559728;311;-58;0;21.068701;52.502113;-38;417;101469.57;10
1563745;312;-60;3;21.068628;52.502296;-38;415;101465.09;10
1568749;313;-60;3;21.068953;52.502098;-38;416;101464.98;10
1573754;314;-59;3;21.069191;52.502003;-38;416;101467.15;10
1578757;315;-61;3;21.068956;52.502102;-38;416;101467.53;10
1583760;316;-60;3;21.068394;52.50193;-38;418;101469.95;10
1588762;317;-60;3;21.069153;52.501915;-38;417;101473.09;10
1593768;318;-61;3;21.069748;52.501835;-38;418;101472.89;10
1598771;319;-61;3;21.068895;52.501884;-38;417;101462.95;10
1603774;320;-61;3;21.069323;52.501911;-38;417;101470.89;10
1609764;321;-59;0;21.069323;52.501911;-38;417;101469.19;10
1615754;322;-59;0;21.069323;52.501911;-38;415;101469.6;10
1621743;323;-59;0;21.069323;52.501911;-38;415;101465.18;10
1627733;324;-60;0;21.069323;52.501911;-38;415;101465.09;10
1633723;325;-60;0;21.069323;52.501911;-38;414;101469.17;10
1639712;326;-59;0;21.069323;52.501911;-38;414;101459.44;10
1645702;327;-59;0;21.069323;52.501911;-38;413;101469.74;11
1651691;328;-59;0;21.069323;52.501911;-38;414;101461.59;10
1657681;329;-59;0;21.069323;52.501911;-38;413;101463.26;11
1663671;330;-60;0;21.069323;52.501911;-38;412;101465.98;11
1669662;331;-59;0;21.069323;52.501911;-38;411;101457.52;11
1673826;332;-60;3;21.068518;52.502342;-38;412;101466.16;11
1678830;333;-60;3;21.068502;52.502304;-38;415;101454.8;10
1683833;334;-60;3;21.068945;52.502178;-38;414;101465.05;10
1688838;335;-60;3;21.069611;52.502045;-38;414;101464.05;10
1693841;336;-60;3;21.069609;52.502064;-38;413;101467.64;11
1698845;337;-61;3;21.069527;52.502125;-38;414;101459.18;10
1704834;338;-58;0;21.069527;52.502125;-38;415;101458.38;10
1708850;339;-60;3;21.06951;52.502098;-38;414;101462.08;10
1713855;340;-61;3;21.070141;52.501938;-38;416;101460.7;10
1718859;341;-61;3;21.070656;52.501808;-38;416;101466.09;10
1723862;342;-60;3;21.070564;52.501823;-38;416;101466.25;10
1728866;343;-61;3;21.069416;52.502094;-38;417;101461.64;10
1733870;344;-61;3;21.069355;52.502151;-38;414;101463.7;10
1738873;345;-60;3;21.070494;52.502007;-38;414;101452.56;10
1743878;346;-61;3;21.069279;52.502178;-38;413;101464.27;10
1748881;347;-61;3;21.068756;52.502205;-38;415;101459.08;10
1753886;348;-62;3;21.068811;52.502186;-38;415;101468.5;10
1758888;349;-61;3;21.06868;52.502258;-38;415;101462.38;10
1763893;350;-61;3;21.069162;52.502174;-38;415;101468.6;10
1768897;351;-61;3;21.069609;52.502048;-38;414;101459.66;10
1773901;352;-61;3;21.069647;52.50214;-38;415;101460.66;10
1778905;353;-61;3;21.069893;52.502079;-38;415;101462.5;10
1783910;354;-60;3;21.068756;52.502289;-38;415;101464.22;10
1788913;355;-61;3;21.069418;52.502125;-38;415;101460.8;10
1793918;356;-60;3;21.068661;52.5023;-38;416;101465.15;10
1798923;357;-61;3;21.069136;52.502186;-38;416;101461.73;10
1803926;358;-60;3;21.069048;52.502178;-38;417;101465.89;10
1808930;359;-61;3;21.06983;52.502048;-38;417;101463.34;10
1813934;360;-61;3;21.069593;52.502048;-38;416;101460.64;10
1818937;361;-61;3;21.069796;52.501995;-38;416;101458.99;10
1823942;362;-60;3;21.069242;52.50206;-38;417;101457.47;10
1828946;363;-62;3;21.069162;52.50209;-38;416;101463.19;10
1833949;364;-61;3;21.069639;52.501919;-38;415;101465.09;10
1838954;365;-61;3;21.069778;52.501755;-38;414;101462.24;10
1843956;366;-61;3;21.06908;52.50201;-38;415;101460.41;10
1848961;367;-61;3;21.069347;52.501976;-38;415;101462.38;10
1853965;368;-61;3;21.070389;52.502178;-38;414;101460.05;10
1858967;369;-60;3;21.070095;52.502106;-38;414;101457.08;10
1863972;370;-60;3;21.070524;52.501999;-38;414;101462.95;10
1868976;371;-61;3;21.071449;52.501877;-38;415;101456.5;10
1873979;372;-61;3;21.0711;52.502167;-38;414;101463.3;10
1878984;373;-61;3;21.071283;52.502022;-38;414;101456.47;10
1884974;374;-58;0;21.071283;52.502022;-38;414;101460.98;10
1888994;375;-61;3;21.070135;52.502083;-38;414;101464.56;10
1893997;376;-62;3;21.069725;52.502209;-38;417;101465.77;10
1899001;377;-61;3;21.069485;52.502201;-38;416;101460.22;10
1904005;378;-61;3;21.070127;52.502041;-38;416;101462.34;10
1909994;379;-59;0;21.070127;52.502041;-38;415;101454.7;10
1914012;380;-61;3;21.070351;52.501957;-38;415;101459.08;10
1919015;381;-61;3;21.069374;52.50214;-38;417;101473.22;10
1925005;382;-59;0;21.069374;52.50214;-38;417;101465.89;10
1930994;383;-60;0;21.069374;52.50214;-38;416;101469.73;10
1936983;384;-59;0;21.069374;52.50214;-38;416;101461.92;10
1942972;385;-60;0;21.069374;52.50214;-38;416;101458.28;10
1948961;386;-60;0;21.069374;52.50214;-38;416;101459.12;10
1954951;387;-59;0;21.069374;52.50214;-38;415;101467.89;10
1960940;388;-60;0;21.069374;52.50214;-38;416;101462.63;10
1966929;389;-60;0;21.069374;52.50214;-38;414;101465.66;10
1972918;390;-60;0;21.069374;52.50214;-38;414;101451.86;10
1978908;391;-60;0;21.069374;52.50214;-38;413;101461.07;11
1984897;392;-58;0;21.069374;52.50214;-38;413;101461.94;10
1990886;393;-60;0;21.069374;52.50214;-38;413;101455.02;10
1996876;394;-60;0;21.069374;52.50214;-38;413;101455.85;10
2002866;395;-60;0;21.069374;52.50214;-38;413;101460.71;11
2008856;396;-60;0;21.069374;52.50214;-38;412;101459.53;11
2014845;397;-59;0;21.069374;52.50214;-38;412;101457.96;11
2020835;398;-60;0;21.069374;52.50214;-38;412;101464.22;11
2026824;399;-61;0;21.069374;52.50214;-38;411;101461.08;11
2032814;400;-60;0;21.069374;52.50214;-38;412;101458.8;11
2038802;401;-60;0;21.069374;52.50214;-38;412;101460.98;11
2044791;402;-59;0;21.069374;52.50214;-38;412;101462.7;11
2050781;403;-60;0;21.069374;52.50214;-38;411;101462.17;11
2056771;404;-60;0;21.069374;52.50214;-38;413;101457.81;11
2062761;405;-60;0;21.069374;52.50214;-38;413;101457.42;11
2068751;406;-60;0;21.069374;52.50214;-38;413;101459.36;11
2074742;407;-60;0;21.069374;52.50214;-38;412;101459.28;11
2080732;408;-60;0;21.069374;52.50214;-38;413;101460.71;11
2086722;409;-60;0;21.069374;52.50214;-38;413;101462.03;11
2092713;410;-60;0;21.069374;52.50214;-38;411;101459.14;11
2098702;411;-60;0;21.069374;52.50214;-38;411;101457.52;11
2104692;412;-60;0;21.069374;52.50214;-38;412;101459.28;11
2110681;413;-60;0;21.069374;52.50214;-38;412;101456;11
2116671;414;-59;0;21.069374;52.50214;-38;413;101460.94;11
2122661;415;-58;0;21.069374;52.50214;-38;411;101456.2;11
2128650;416;-58;0;21.069374;52.50214;-38;411;101460.45;11
2134640;417;-58;0;21.069374;52.50214;-38;411;101463.52;11
2140630;418;-58;0;21.069374;52.50214;-38;411;101458.53;11
2146619;419;-59;0;21.069374;52.50214;-38;410;101452.38;11
2152609;420;-58;0;21.069374;52.50214;-38;410;101458.83;11
2158598;421;-59;0;21.069374;52.50214;-38;412;101462.7;11
2164201;422;-59;3;21.067873;52.502544;-38;412;101455.86;11
2169205;423;-60;3;21.068516;52.502434;-38;412;101460.38;11
2174208;424;-60;3;21.069508;52.502232;-38;411;101454.38;11
2179212;425;-59;3;21.071314;52.501839;-38;413;101455.94;11
2184215;426;-60;3;21.07107;52.501884;-38;414;101463.08;10
2189219;427;-59;3;21.070328;52.502029;-38;414;101456.47;10
2194222;428;-59;3;21.06904;52.502373;-38;415;101456.5;10
2199227;429;-59;3;21.070528;52.502071;-38;415;101457.16;10
2204232;430;-60;3;21.069311;52.50227;-38;416;101453.77;10
2209236;431;-60;3;21.070295;52.502003;-38;416;101458.02;10
2214240;432;-59;3;21.070126;52.502018;-38;417;101464.89;10
